"taxon","taxon1","taxon2","genus","tribe","subfamily","family","order","class","agg.ssp","rand.type","poly.ins"
"Lophotriorchis_kienerii",,,"Lophotriorchis",,,"Accipitridae","Accipitriformes","Aves",,,
"Clanga_clanga",,,"Clanga",,,"Accipitridae","Accipitriformes","Aves",,,
"Clanga_pomarina",,,"Clanga",,,"Accipitridae","Accipitriformes","Aves",,,
"Kaupifalco_monogrammicus",,,"Kaupifalco",,,"Accipitridae","Accipitriformes","Aves",,,
"Rupornis_magnirostris",,,"Rupornis",,,,,,,,
"Megatriorchis_doriae",,,"Megatriorchis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Erythrotriorchis_radiatus",,,"Erythrotriorchis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Erythrotriorchis_buergersi",,,"Erythrotriorchis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Urotriorchis_macrourus",,,"Urotriorchis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Nisaetus_kelaarti",,,"Nisaetus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Nisaetus_bartelsi",,,"Nisaetus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Nisaetus_nanus",,,"Nisaetus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Nisaetus_alboniger",,,"Nisaetus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Nisaetus_philippensis",,,"Nisaetus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Nisaetus_cirrhatus",,,"Nisaetus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Nisaetus_nipalensis",,,"Nisaetus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Macheiramphus_alcinus",,,"Macheiramphus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Micronisus_gabar",,,"Micronisus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Harpagus_diodon",,,"Harpagus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Harpagus_bidentatus",,,"Harpagus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Butastur_liventer",,,"Butastur",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Butastur_teesa",,,"Butastur",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Butastur_rufipennis",,,"Butastur",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Butastur_indicus",,,"Butastur",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Harpyhaliaetus_solitarius",,,"Harpyhaliaetus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Harpyhaliaetus_coronatus",,,"Harpyhaliaetus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Geranospiza_caerulescens",,,"Geranospiza",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Ichthyophaga_ichthyaetus",,,"Ichthyophaga",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Ichthyophaga_humilis",,,"Ichthyophaga",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Melierax_poliopterus",,,"Melierax",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Melierax_metabates",,,"Melierax",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Melierax_canorus",,,"Melierax",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Lophaetus_occipitalis",,,"Lophaetus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Harpyopsis_novaeguineae",,,"Harpyopsis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Dryotriorchis_spectabilis",,,"Dryotriorchis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Terathopius_ecaudatus",,,"Terathopius",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Lophoictinia_isura",,,"Lophoictinia",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Ictinia_mississippiensis",,,"Ictinia",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Ictinia_plumbea",,,"Ictinia",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Hamirostra_melanosternon",,,"Hamirostra",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Leucopternis_polionotus",,,"Leucopternis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Leucopternis_occidentalis",,,"Leucopternis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Leucopternis_semiplumbeus",,,"Leucopternis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Leucopternis_lacernulatus",,,"Leucopternis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Leucopternis_princeps",,,"Leucopternis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Leucopternis_plumbeus",,,"Leucopternis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Leucopternis_melanops",,,"Leucopternis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Leucopternis_kuhli",,,"Leucopternis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
"Leucopternis_albicollis",,,"Leucopternis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves",,,
