"taxon","genus","tribe","subfamily","family","order","class"
"Cathartes_aura","Cathartes",,,"Cathartidae","Accipitriformes","Aves"
"Pandion_haliaetus","Pandion",,,"Pandionidae","Accipitriformes","Aves"
"Kaupifalco_monogrammicus","Kaupifalco",,,"Accipitridae","Accipitriformes","Aves"
"Melierax_poliopterus","Melierax",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Melierax_canorus","Melierax",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Urotriorchis_macrourus","Urotriorchis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Accipiter_superciliosus","Accipiter",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Melierax_gabar","Melierax",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Accipiter_tachiro","Accipiter",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Accipiter_novaehollandiae","Accipiter",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Accipiter_imitator","Accipiter",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Accipiter_erythronemius","Accipiter",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Accipiter_rufiventris","Accipiter",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Accipiter_striatus","Accipiter",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Accipiter_nisus","Accipiter",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Accipiter_gentilis","Accipiter",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Accipiter_cooperii","Accipiter",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Accipiter_bicolor","Accipiter",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Circus_cyaneus","Circus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Circus_cinereus","Circus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Circus_buffoni","Circus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Circus_ranivorus","Circus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Circus_aeruginosus","Circus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Accipiter_soloensis","Accipiter",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Accipiter_gularis","Accipiter",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Accipiter_virgatus","Accipiter",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Accipiter_cirrocephalus","Accipiter",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Harpagus_bidentatus","Harpagus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Haliaeetus_leucoryphus","Haliaeetus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Haliaeetus_albicilla","Haliaeetus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Haliaeetus_leucocephalus","Haliaeetus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Haliaeetus_pelagicus","Haliaeetus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Haliaeetus_leucogaster","Haliaeetus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Haliaeetus_sanfordi","Haliaeetus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Haliaeetus_vocifer","Haliaeetus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Haliaeetus_vociferoides","Haliaeetus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Ichthyophaga_humilis","Ichthyophaga",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Ichthyophaga_ichthyaetus","Ichthyophaga",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Milvus_migrans","Milvus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Milvus_milvus","Milvus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Haliastur_sphenurus","Haliastur",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Haliastur_indus","Haliastur",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Butastur_rufipennis","Butastur",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Butastur_indicus","Butastur",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Butastur_teesa","Butastur",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Ictinia_mississippiensis","Ictinia",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Ictinia_plumbea","Ictinia",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Leucopternis_plumbeus","Leucopternis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Buteogallus_meridionalis","Buteogallus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Buteogallus_urubitinga","Buteogallus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Harpyhaliaetus_coronatus","Harpyhaliaetus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Harpyhaliaetus_solitarius","Harpyhaliaetus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Leucopternis_lacernulatus","Leucopternis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Leucopternis_schistaceus","Leucopternis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Buteogallus_aequinoctialis","Buteogallus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Buteogallus_anthracinus","Buteogallus",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Buteo_magnirostris","Buteo",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Parabuteo_unicinctus","Parabuteo",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Buteo_leucorrhous","Buteo",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Leucopternis_occidentalis","Leucopternis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Leucopternis_albicollis","Leucopternis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
"Leucopternis_polionotus","Leucopternis",,"Accipitrinae","Accipitridae","Accipitriformes","Aves"
