"taxon","taxon1","taxon2","genus","tribe","subfamily","family","order","class","agg.ssp","rand.type","poly.ins"
"Achalarus_albociliatus",,,"Achalarus","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Achalarus_casica",,,"Achalarus","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Achalarus_jalapus",,,"Achalarus","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Achalarus_lyciades",,,"Achalarus","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Achalarus_toxeus",,,"Achalarus","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Achlyodes_thraso",,,"Achlyodes",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta",,,
"Adelpha_basiloides",,,"Adelpha","Limenitidini","Limenitidinae","Nymphalidae","Lepidoptera","Insecta",,,
"Adelpha_bredowii",,,"Adelpha","Limenitidini","Limenitidinae","Nymphalidae","Lepidoptera","Insecta",,,
"Adelpha_fessonia",,,"Adelpha","Limenitidini","Limenitidinae","Nymphalidae","Lepidoptera","Insecta",,,
"Adopaeoides_prittwitzi",,,"Adopaeoides",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Agathymus_alliae",,,"Agathymus",,"Megathyminae","Hesperiidae","Lepidoptera","Insecta",,,
"Agathymus_aryxna_baueri",,,"Agathymus",,"Megathyminae","Hesperiidae","Lepidoptera","Insecta",,,
"Agathymus_aryxna_gentryi",,,"Agathymus",,"Megathyminae","Hesperiidae","Lepidoptera","Insecta",,,
"Agathymus_evansi",,,"Agathymus",,"Megathyminae","Hesperiidae","Lepidoptera","Insecta",,,
"Agathymus_mariae",,,"Agathymus",,"Megathyminae","Hesperiidae","Lepidoptera","Insecta",,,
"Agathymus_neumoegeni",,,"Agathymus",,"Megathyminae","Hesperiidae","Lepidoptera","Insecta",,,
"Agathymus_polingi",,,"Agathymus",,"Megathyminae","Hesperiidae","Lepidoptera","Insecta",,,
"Agathymus_remingtoni",,,"Agathymus",,"Megathyminae","Hesperiidae","Lepidoptera","Insecta",,,
"Agathymus_stephensi",,,"Agathymus",,"Megathyminae","Hesperiidae","Lepidoptera","Insecta",,,
"Agraulis_vanillae",,,"Agraulis","Heliconiini","Heliconiinae","Nymphalidae","Lepidoptera","Insecta",,,
"Agriades_cassiope",,,"Agriades",,"Polyommatinae","Lycaenidae","Lepidoptera","Insecta",,,
"Agriades_glandon_franklinii",,,"Agriades",,"Polyommatinae","Lycaenidae","Lepidoptera","Insecta",,,
"Agriades_glandon_glandon",,,"Agriades",,"Polyommatinae","Lycaenidae","Lepidoptera","Insecta",,,
"Agriades_glandon_podarce",,,"Agriades",,"Polyommatinae","Lycaenidae","Lepidoptera","Insecta",,,
"Aguna_asander",,,"Aguna","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Aguna_claxon",,,"Aguna","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Aguna_metophis",,,"Aguna","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Allosmaitia_strophius",,,"Allosmaitia","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Amblyscirtes_aenus",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_aesculapius",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_alternata",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_belli",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_carolina",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_cassus",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_celia",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_elissa",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_eos",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_exoteria",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_fimbriata",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
