"taxon","genus","tribe","subfamily","family","order","class"
"Iphiclides_feisthamelii","Iphiclides","Leptocircini","Papilioninae","Papilionidae","Lepidoptera","Insecta"
"Iphiclides_podalirius","Iphiclides","Leptocircini","Papilioninae","Papilionidae","Lepidoptera","Insecta"
"Papilio_alexanor","Papilio","Papilionini","Papilioninae","Papilionidae","Lepidoptera","Insecta"
"Papilio_hospiton","Papilio","Papilionini","Papilioninae","Papilionidae","Lepidoptera","Insecta"
"Papilio_machaon","Papilio","Papilionini","Papilioninae","Papilionidae","Lepidoptera","Insecta"
"Parnassius_mnemosyne","Parnassius","Parnassini","Parnassiinae","Papilionidae","Lepidoptera","Insecta"
"Parnassius_apollo","Parnassius","Parnassini","Parnassiinae","Papilionidae","Lepidoptera","Insecta"
"Parnassius_phoebus","Parnassius","Parnassini","Parnassiinae","Papilionidae","Lepidoptera","Insecta"
"Archon_apollinus","Archon","Parnassini","Parnassiinae","Papilionidae","Lepidoptera","Insecta"
"Zerynthia_rumina","Zerynthia","Zerynthini","Parnassiinae","Papilionidae","Lepidoptera","Insecta"
"Zerynthia_cassandra","Zerynthia","Zerynthini","Parnassiinae","Papilionidae","Lepidoptera","Insecta"
"Zerynthia_polyxena","Zerynthia","Zerynthini","Parnassiinae","Papilionidae","Lepidoptera","Insecta"
"Zerynthia_cretica","Zerynthia","Zerynthini","Parnassiinae","Papilionidae","Lepidoptera","Insecta"
"Zerynthia_cerisy","Zerynthia","Zerynthini","Parnassiinae","Papilionidae","Lepidoptera","Insecta"
"Zerynthia_caucasica","Zerynthia","Zerynthini","Parnassiinae","Papilionidae","Lepidoptera","Insecta"
"Heteropterus_morpheus","Heteropterus",,"Heteropterinae","Hesperiidae","Lepidoptera","Insecta"
"Carterocephalus_silvicola","Carterocephalus",,"Heteropterinae","Hesperiidae","Lepidoptera","Insecta"
"Carterocephalus_palaemon","Carterocephalus",,"Heteropterinae","Hesperiidae","Lepidoptera","Insecta"
"Borbo_borbonica","Borbo",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta"
"Pelopidas_thrax","Pelopidas",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta"
"Gegenes_nostrodamus","Gegenes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta"
"Gegenes_pumilio","Gegenes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta"
"Ochlodes_sylvanus","Ochlodes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta"
"Hesperia_comma","Hesperia",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta"
"Thymelicus_christi","Thymelicus",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta"
"Thymelicus_acteon","Thymelicus",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta"
"Thymelicus_hyrax","Thymelicus",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta"
"Thymelicus_sylvestris","Thymelicus",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta"
"Thymelicus_lineola","Thymelicus",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta"
"Carcharodus_tripolinus","Carcharodus",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Carcharodus_alceae","Carcharodus",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Spialia_phlomidis","Spialia",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Spialia_therapne","Spialia",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Spialia_sertorius","Spialia",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Spialia_rosae","Spialia",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Spialia_orbifer","Spialia",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Muschampia_cribrellum","Muschampia",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Muschampia_tessellum","Muschampia",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Muschampia_proto","Muschampia",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Carcharodus_orientalis","Carcharodus",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Carcharodus_floccifera","Carcharodus",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Carcharodus_lavatherae","Carcharodus",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Carcharodus_baeticus","Carcharodus",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Carcharodus_stauderi","Carcharodus",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Erynnis_tages","Erynnis",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Erynnis_marloyi","Erynnis",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Pyrgus_sidae","Pyrgus",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Pyrgus_carthami","Pyrgus",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Pyrgus_malvoides","Pyrgus",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Pyrgus_malvae","Pyrgus",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Pyrgus_andromedae","Pyrgus",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Pyrgus_cacaliae","Pyrgus",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Pyrgus_centaureae","Pyrgus",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
"Pyrgus_serratulae","Pyrgus",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta"
