"taxon","taxon1","taxon2","genus","tribe","subfamily","family","order","class","agg.ssp","rand.type","poly.ins"
"Thalassophis_anomalus",,,"Thalassophis",,,"Elapidae","Squamata","Lepidosauria",,,
"Pseudohaje_goldii",,,"Pseudohaje",,,"Elapidae","Squamata","Lepidosauria",,,
"Parapistocalamus_hedigeri",,,"Parapistocalamus",,,"Elapidae","Squamata","Lepidosauria",,,
"Antaioserpens_warro",,,"Antaioserpens",,,"Elapidae","Squamata","Lepidosauria",,,
"Ogmodon_vitianus",,,"Ogmodon",,,"Elapidae","Squamata","Lepidosauria",,,
"Paroplocephalus_atriceps",,,"Paroplocephalus",,,"Elapidae","Squamata","Lepidosauria",,,
"Parasuta_gouldii",,,"Parasuta",,,"Elapidae","Squamata","Lepidosauria",,,
"Parasuta_nigriceps",,,"Parasuta",,,"Elapidae","Squamata","Lepidosauria",,,
"Parasuta_spectabilis",,,"Parasuta",,,"Elapidae","Squamata","Lepidosauria",,,
"Parasuta_monachus",,,"Parasuta",,,"Elapidae","Squamata","Lepidosauria",,,
"Parasuta_flagellum",,,"Parasuta",,,"Elapidae","Squamata","Lepidosauria",,,
"Cryptophis_nigrescens",,,"Cryptophis",,,"Elapidae","Squamata","Lepidosauria",,,
"Simoselaps_minimus",,,"Simoselaps",,,"Elapidae","Squamata","Lepidosauria",,,
"Simoselaps_littoralis",,,"Simoselaps",,,"Elapidae","Squamata","Lepidosauria",,,
"Simoselaps_bertholdi",,,"Simoselaps",,,"Elapidae","Squamata","Lepidosauria",,,
"Simoselaps_anomalus",,,"Simoselaps",,,"Elapidae","Squamata","Lepidosauria",,,
"Simoselaps_bimaculatus",,,"Simoselaps",,,"Elapidae","Squamata","Lepidosauria",,,
"Furina_ornata",,,"Furina",,,"Elapidae","Squamata","Lepidosauria",,,
"Furina_diadema",,,"Furina",,,"Elapidae","Squamata","Lepidosauria",,,
"Elapognathus_coronatus",,,"Elapognathus",,,"Elapidae","Squamata","Lepidosauria",,,
"Denisonia_devisi",,,"Denisonia",,,"Elapidae","Squamata","Lepidosauria",,,
"Cacophis_harriettae",,,"Cacophis",,,"Elapidae","Squamata","Lepidosauria",,,
"Cacophis_krefftii",,,"Cacophis",,,"Elapidae","Squamata","Lepidosauria",,,
"Cacophis_squamulosus",,,"Cacophis",,,"Elapidae","Squamata","Lepidosauria",,,
"Suta_dwyeri",,,"Suta",,,"Elapidae","Squamata","Lepidosauria",,,
"Suta_gaikhorstorum",,,"Suta",,,"Elapidae","Squamata","Lepidosauria",,,
"Suta_punctata",,,"Suta",,,"Elapidae","Squamata","Lepidosauria",,,
"Suta_ordensis",,,"Suta",,,"Elapidae","Squamata","Lepidosauria",,,
"Suta_fasciata",,,"Suta",,,"Elapidae","Squamata","Lepidosauria",,,
"Suta_suta",,,"Suta",,,"Elapidae","Squamata","Lepidosauria",,,
"Vermicella_parscauda",,,"Vermicella",,,"Elapidae","Squamata","Lepidosauria",,,
"Vermicella_vermiformis",,,"Vermicella",,,"Elapidae","Squamata","Lepidosauria",,,
