"taxon","genus","tribe","subfamily","family","order","class"
"Acanthophis_antarcticus","Acanthophis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Acanthophis_hawkei","Acanthophis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Acanthophis_laevis","Acanthophis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Acanthophis_praelongus","Acanthophis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Acanthophis_pyrrhus","Acanthophis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Acanthophis_rugosus","Acanthophis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Acanthophis_wellsi","Acanthophis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Pseudechis_australis","Pseudechis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Pseudechis_butleri","Pseudechis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Pseudechis_colletti","Pseudechis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Pseudechis_guttatus","Pseudechis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Pseudechis_pailsei","Pseudechis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Pseudechis_papuanus","Pseudechis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Pseudechis_porphyriacus","Pseudechis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Pseudechis_rossignolii","Pseudechis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Pseudechis_weigeli","Pseudechis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Aspidomorphus_lineaticollis","Aspidomorphus",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Aspidomorphus_muelleri","Aspidomorphus",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Aspidomorphus_schlegelii","Aspidomorphus",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Ogmodon_vitianus","Ogmodon",,,"Elapidae","Squamata","Lepidosauria"
"Vermicella_annulata","Vermicella",,,"Elapidae","Squamata","Lepidosauria"
"Vermicella_calonotus","Vermicella",,,"Elapidae","Squamata","Lepidosauria"
"Vermicella_intermedia","Vermicella",,,"Elapidae","Squamata","Lepidosauria"
"Vermicella_multifasciata","Vermicella",,,"Elapidae","Squamata","Lepidosauria"
"Vermicella_snelli","Vermicella",,,"Elapidae","Squamata","Lepidosauria"
"Vermicella_vermiformis","Vermicella",,,"Elapidae","Squamata","Lepidosauria"
"Oxyuranus_microlepidotus","Oxyuranus",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Oxyuranus_scutellatus","Oxyuranus",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
