"taxon","taxon1","taxon2","genus","tribe","subfamily","family","order","class","agg.ssp","rand.type","poly.ins"
"Cephalopachus_bancanus",,,"Cephalopachus",,,"Tarsiidae","Primates","Mammalia",,,
"Carlito_syrichta",,,"Carlito",,,"Tarsiidae","Primates","Mammalia",,,
"Tarsius_fuscus",,,"Tarsius",,,"Tarsiidae","Primates","Mammalia",,,
"Tarsius_wallacei",,,"Tarsius",,,"Tarsiidae","Primates","Mammalia",,,
"Tarsius_sangirensis",,,"Tarsius",,,"Tarsiidae","Primates","Mammalia",,,
"Tarsius_tarsier",,,"Tarsius",,,"Tarsiidae","Primates","Mammalia",,,
"Tarsius_dentatus_x_lariang",,,"Tarsius",,,"Tarsiidae","Primates","Mammalia",,,
"Tarsius_lariang",,,"Tarsius",,,"Tarsiidae","Primates","Mammalia",,,
"Tarsius_dentatus",,,"Tarsius",,,"Tarsiidae","Primates","Mammalia",,,
"Paragalago_zanzibaricus",,,"Paragalago",,,"Galagidae","Primates","Mammalia",,,
"Paragalago_cocos",,,"Paragalago",,,"Galagidae","Primates","Mammalia",,,
"Euoticus_elegantulus",,,"Euoticus",,,"Galagidae","Primates","Mammalia",,,
"Galagoides_rondoensis",,,"Galagoides",,,"Galagidae","Primates","Mammalia",,,
"Galagoides_cocos",,,"Galagoides",,,"Galagidae","Primates","Mammalia",,,
"Galagoides_thomasi",,,"Galagoides",,,"Galagidae","Primates","Mammalia",,,
"Galagoides_orinus",,,"Galagoides",,,"Galagidae","Primates","Mammalia",,,
"Galagoides_zanzibaricus",,,"Galagoides",,,"Galagidae","Primates","Mammalia",,,
"Galagoides_demidoff",,,"Galagoides",,,"Galagidae","Primates","Mammalia",,,
"Otolemur_monteiri",,,"Otolemur",,,"Galagidae","Primates","Mammalia",,,
"Otolemur_garnettii",,,"Otolemur",,,"Galagidae","Primates","Mammalia",,,
"Otolemur_crassicaudatus",,,"Otolemur",,,"Galagidae","Primates","Mammalia",,,
"Galago_granti",,,"Galago",,,"Galagidae","Primates","Mammalia",,,
"Galago_gabonensis",,,"Galago",,,"Galagidae","Primates","Mammalia",,,
"Galago_matschiei",,,"Galago",,,"Galagidae","Primates","Mammalia",,,
"Galago_gallarum",,,"Galago",,,"Galagidae","Primates","Mammalia",,,
"Galago_alleni",,,"Galago",,,"Galagidae","Primates","Mammalia",,,
"Galago_moholi",,,"Galago",,,"Galagidae","Primates","Mammalia",,,
"Galago_senegalensis",,,"Galago",,,"Galagidae","Primates","Mammalia",,,
"Arctocebus_aureus",,,"Arctocebus",,,"Lorisidae","Primates","Mammalia",,,
"Arctocebus_calabarensis",,,"Arctocebus",,,"Lorisidae","Primates","Mammalia",,,
"Perodicticus_potto",,,"Perodicticus",,,"Lorisidae","Primates","Mammalia",,,
"Nycticebus_javanicus",,,"Nycticebus",,,"Lorisidae","Primates","Mammalia",,,
"Nycticebus_menagensis",,,"Nycticebus",,,"Lorisidae","Primates","Mammalia",,,
"Nycticebus_bengalensis",,,"Nycticebus",,,"Lorisidae","Primates","Mammalia",,,
"Nycticebus_pygmaeus",,,"Nycticebus",,,"Lorisidae","Primates","Mammalia",,,
"Nycticebus_coucang",,,"Nycticebus",,,"Lorisidae","Primates","Mammalia",,,
"Loris_lydekkerianus",,,"Loris",,,"Lorisidae","Primates","Mammalia",,,
"Loris_tardigradus",,,"Loris",,,"Lorisidae","Primates","Mammalia",,,
"Daubentonia_madagascariensis",,,"Daubentonia",,,"Daubentoniidae","Primates","Mammalia",,,
"Palaeopropithecus_maximus",,,"Palaeopropithecus",,,"Paleopropithecidae","Primates","Mammalia",,,
"Palaeopropithecus_ingens",,,"Palaeopropithecus",,,"Paleopropithecidae","Primates","Mammalia",,,
"Phaner_parienti",,,"Phaner",,,"Cheirogaleidae","Primates","Mammalia",,,
"Phaner_electromontis",,,"Phaner",,,"Cheirogaleidae","Primates","Mammalia",,,
"Phaner_pallescens",,,"Phaner",,,"Cheirogaleidae","Primates","Mammalia",,,
"Phaner_furcifer",,,"Phaner",,,"Cheirogaleidae","Primates","Mammalia",,,
"Allocebus_trichotis",,,"Allocebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Mirza_zaza",,,"Mirza",,,"Cheirogaleidae","Primates","Mammalia",,,
"Mirza_coquereli",,,"Mirza",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_ganzhorni",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_marohita",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_tanosi",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_gerpi",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_margotmarshae",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_arnholdi",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_macarthurii",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_mamiratra",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_lokobensis",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_danfossi",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_bongolavensis",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_lehilahytsara",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_jollyae",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_mittermeieri",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_simmonsi",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_griseorufus",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_sambiranensis",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_berthae",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_tavaratra",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_myoxinus",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_rufus",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_ravelobensis",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_murinus",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Cheirogaleus_lavasoensis",,,"Cheirogaleus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Cheirogaleus_minusculus",,,"Cheirogaleus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Cheirogaleus_sibreei",,,"Cheirogaleus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Cheirogaleus_crossleyi",,,"Cheirogaleus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Cheirogaleus_major",,,"Cheirogaleus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Cheirogaleus_medius",,,"Cheirogaleus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Megaladapis_edwardsi",,,"Megaladapis",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_wrightae",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
