"taxon","genus","tribe","subfamily","family","order","class"
"Perodicticus_potto","Perodicticus",,,"Lorisidae","Primates","Mammalia"
"Arctocebus_calabarensis","Arctocebus",,,"Lorisidae","Primates","Mammalia"
"Nycticebus_pygmaeus","Nycticebus",,,"Lorisidae","Primates","Mammalia"
"Nycticebus_javanicus","Nycticebus",,,"Lorisidae","Primates","Mammalia"
"Nycticebus_coucang","Nycticebus",,,"Lorisidae","Primates","Mammalia"
"Nycticebus_bengalensis","Nycticebus",,,"Lorisidae","Primates","Mammalia"
"Nycticebus_menagensis","Nycticebus",,,"Lorisidae","Primates","Mammalia"
"Loris_tardigradus","Loris",,,"Lorisidae","Primates","Mammalia"
"Loris_lydekkerianus","Loris",,,"Lorisidae","Primates","Mammalia"
"Galagoides_thomasi","Galagoides",,,"Galagidae","Primates","Mammalia"
"Galagoides_demidovii","Galagoides",,,"Galagidae","Primates","Mammalia"
"Sciurocheirus_gabonensis","Sciurocheirus",,,,,
"Sciurocheirus_alleni","Sciurocheirus",,,,,
"Otolemur_garnettii","Otolemur",,,"Galagidae","Primates","Mammalia"
"Otolemur_crassicaudatus","Otolemur",,,"Galagidae","Primates","Mammalia"
"Galagoides_zanzibaricus","Galagoides",,,"Galagidae","Primates","Mammalia"
"Galagoides_granti","Galagoides",,,"Galagidae","Primates","Mammalia"
"Galagoides_cocos","Galagoides",,,"Galagidae","Primates","Mammalia"
"Galago_matschiei","Galago",,,"Galagidae","Primates","Mammalia"
"Galago_moholi","Galago",,,"Galagidae","Primates","Mammalia"
"Galago_gallarum","Galago",,,"Galagidae","Primates","Mammalia"
"Galago_senegalensis","Galago",,,"Galagidae","Primates","Mammalia"
"Euoticus_elegantulus","Euoticus",,,"Galagidae","Primates","Mammalia"
"Daubentonia_madagascariensis","Daubentonia",,,"Daubentoniidae","Primates","Mammalia"
"Megaladapis_edwardsi","Megaladapis",,,"Lepilemuridae","Primates","Mammalia"
"Varecia_variegata","Varecia",,,"Lemuridae","Primates","Mammalia"
"Varecia_rubra","Varecia",,,"Lemuridae","Primates","Mammalia"
"Prolemur_simus","Prolemur",,,"Lemuridae","Primates","Mammalia"
"Lemur_catta","Lemur",,,"Lemuridae","Primates","Mammalia"
"Hapalemur_aureus","Hapalemur",,,"Lemuridae","Primates","Mammalia"
"Hapalemur_griseus","Hapalemur",,,"Lemuridae","Primates","Mammalia"
"Hapalemur_occidentalis","Hapalemur",,,"Lemuridae","Primates","Mammalia"
"Hapalemur_alaotrensis","Hapalemur",,,"Lemuridae","Primates","Mammalia"
"Eulemur_rubriventer","Eulemur",,,"Lemuridae","Primates","Mammalia"
"Eulemur_mongoz","Eulemur",,,"Lemuridae","Primates","Mammalia"
"Eulemur_coronatus","Eulemur",,,"Lemuridae","Primates","Mammalia"
"Eulemur_collaris","Eulemur",,,"Lemuridae","Primates","Mammalia"
"Eulemur_cinereiceps","Eulemur",,,"Lemuridae","Primates","Mammalia"
"Eulemur_fulvus","Eulemur",,,"Lemuridae","Primates","Mammalia"
"Eulemur_sanfordi","Eulemur",,,"Lemuridae","Primates","Mammalia"
"Eulemur_albifrons","Eulemur",,,"Lemuridae","Primates","Mammalia"
