"taxon","genus","tribe","subfamily","family","order","class"
"Scomberomorus_guttatus","Scomberomorus","Scomberomorini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Scomberomorus_plurilineatus","Scomberomorus","Scomberomorini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Scomberomorus_koreanus","Scomberomorus","Scomberomorini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Scomberomorus_niphonius","Scomberomorus","Scomberomorini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Scomberomorus_munroi","Scomberomorus","Scomberomorini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Scomberomorus_sinensis","Scomberomorus","Scomberomorini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Scomberomorus_commerson","Scomberomorus","Scomberomorini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Scomberomorus_queenslandicus","Scomberomorus","Scomberomorini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Scomberomorus_maculatus","Scomberomorus","Scomberomorini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Scomberomorus_regalis","Scomberomorus","Scomberomorini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Scomberomorus_brasiliensis","Scomberomorus","Scomberomorini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Scomberomorus_concolor","Scomberomorus","Scomberomorini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Scomberomorus_sierra","Scomberomorus","Scomberomorini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Scomberomorus_tritor","Scomberomorus","Scomberomorini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Scomberomorus_cavalla","Scomberomorus","Scomberomorini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Scomber_australasicus","Scomber","Scombrini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Scomber_japonicus","Scomber","Scombrini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Scomber_colias","Scomber","Scombrini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Scomber_scombrus","Scomber","Scombrini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Rastrelliger_brachysoma","Rastrelliger","Scombrini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Rastrelliger_faughni","Rastrelliger","Scombrini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Rastrelliger_kanagurta","Rastrelliger","Scombrini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Grammatorcynus_bicarinatus","Grammatorcynus","Scomberomorini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Grammatorcynus_bilineatus","Grammatorcynus","Scomberomorini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Thunnus_orientalis","Thunnus","Thunnini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Thunnus_thynnus","Thunnus","Thunnini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Thunnus_maccoyii","Thunnus","Thunnini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Thunnus_alalunga","Thunnus","Thunnini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Thunnus_albacares","Thunnus","Thunnini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Thunnus_obesus","Thunnus","Thunnini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Thunnus_tonggol","Thunnus","Thunnini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Thunnus_atlanticus","Thunnus","Thunnini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Auxis_thazard_thazard","Auxis","Thunnini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Auxis_rochei_rochei","Auxis","Thunnini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Katsuwonus_pelamis","Katsuwonus","Thunnini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Euthynnus_lineatus","Euthynnus","Thunnini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Euthynnus_affinis","Euthynnus","Thunnini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Euthynnus_alletteratus","Euthynnus","Thunnini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Sarda_australis","Sarda","Sardini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Sarda_orientalis","Sarda","Sardini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Sarda_chiliensis_chiliensis","Sarda","Sardini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Sarda_sarda","Sarda","Sardini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Acanthocybium_solandri","Acanthocybium","Scomberomorini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Gymnosarda_unicolor","Gymnosarda","Sardini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Cybiosarda_elegans","Cybiosarda","Sardini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Allothunnus_fallai","Allothunnus","Thunnini","Scombrinae","Scombridae","Scombriformes","Actinopteri"
"Gasterochisma_melampus","Gasterochisma",,"Gasterochismatinae","Scombridae","Scombriformes","Actinopteri"
