taxon,taxon1,taxon2,genus,tribe,subfamily,family,order,class,agg.ssp,rand.type,poly.ins
Strelitzia_juncea,,,Strelitzia,,,Strelitziaceae,Zingiberales,Magnoliopsida,,,
Strelitzia_caudata,,,Strelitzia,,,Strelitziaceae,Zingiberales,Magnoliopsida,,,
Strelitzia_reginae,,,Strelitzia,,,Strelitziaceae,Zingiberales,Magnoliopsida,,,
Strelitzia_alba,,,Strelitzia,,,Strelitziaceae,Zingiberales,Magnoliopsida,,,
Strelitzia_nicolai,,,Strelitzia,,,Strelitziaceae,Zingiberales,Magnoliopsida,,,
Ravenala_madagascariensis,,,Ravenala,,,Strelitziaceae,Zingiberales,Magnoliopsida,,,
Phenakospermum_guyannense,,,Phenakospermum,,,Strelitziaceae,Zingiberales,Magnoliopsida,,,
Orchidantha_suratii,,,Orchidantha,,,Lowiaceae,Zingiberales,Magnoliopsida,,,
Orchidantha_sabahensis,,,Orchidantha,,,Lowiaceae,Zingiberales,Magnoliopsida,,,
Orchidantha_quadricolor,,,Orchidantha,,,Lowiaceae,Zingiberales,Magnoliopsida,,,
Orchidantha_longiflora,,,Orchidantha,,,Lowiaceae,Zingiberales,Magnoliopsida,,,
Orchidantha_inouei,,,Orchidantha,,,Lowiaceae,Zingiberales,Magnoliopsida,,,
Orchidantha_holttumii,,,Orchidantha,,,Lowiaceae,Zingiberales,Magnoliopsida,,,
Orchidantha_grandiflora,,,Orchidantha,,,Lowiaceae,Zingiberales,Magnoliopsida,,,
Orchidantha_chinensis,,,Orchidantha,,,Lowiaceae,Zingiberales,Magnoliopsida,,,
Orchidantha_borneensis,,,Orchidantha,,,Lowiaceae,Zingiberales,Magnoliopsida,,,
Orchidantha_siamensis,,,Orchidantha,,,Lowiaceae,Zingiberales,Magnoliopsida,,,
Orchidantha_maxillarioides,,,Orchidantha,,,Lowiaceae,Zingiberales,Magnoliopsida,,,
Orchidantha_fimbriata,,,Orchidantha,,,Lowiaceae,Zingiberales,Magnoliopsida,,,
