Taxon,Scientific_Name,Endemic,Genus,Species,Subspecies,Class,Order,Family,GBIF_id,POW_Name
Abies alba,Abies alba Mill.,FALSE,Abies,alba,,Pinopsida,Pinales,Pinaceae,2685484,Abies alba
Abies pinsapo,Abies pinsapo Boiss.,TRUE,Abies,pinsapo,,Pinopsida,Pinales,Pinaceae,2685464,Abies pinsapo
Acer campestre,Acer campestre L.,FALSE,Acer,campestre,,Magnoliopsida,Sapindales,Sapindaceae,3189863,Acer campestre
Acer monspessulanum monspessulanum,Acer monspessulanum monspessulanum L.,FALSE,Acer,monspessulanum,monspessulanum,Magnoliopsida,Sapindales,Sapindaceae,7344624,Acer monspessulanum
Acer opalus granatense,Acer opalus granatense (Boiss.) Font Quer & Rothm.,FALSE,Acer,opalus,granatense,Magnoliopsida,Sapindales,Sapindaceae,8013467,Acer granatense
Acer opalus opalus,Acer opalus opalus Mill.,FALSE,Acer,opalus,opalus,Magnoliopsida,Sapindales,Sapindaceae,7221294,Acer opalus
Acer platanoides,Acer platanoides L.,FALSE,Acer,platanoides,,Magnoliopsida,Sapindales,Sapindaceae,3189846,Acer platanoides
Acer pseudoplatanus,Acer pseudoplatanus L.,FALSE,Acer,pseudoplatanus,,Magnoliopsida,Sapindales,Sapindaceae,3189870,Acer pseudoplatanus
Aceras anthropophorum,Aceras anthropophorum (L.) W.T. Aiton,FALSE,Aceras,anthropophorum,,Magnoliopsida,Asparagales,Orchidaceae,7495045,Orchis anthropophora
Achillea ageratum,Achillea ageratum L.,FALSE,Achillea,ageratum,,Magnoliopsida,Asterales,Asteraceae,3120391,Achillea ageratum
Achillea ceretanica,Achillea ceretanica (Sennen) I.Soriano,TRUE,Achillea,ceretanica,,Magnoliopsida,Asterales,Asteraceae,9544507,Achillea ceretanica
Achillea chamaemelifolia,Achillea chamaemelifolia Pourr.,TRUE,Achillea,chamaemelifolia,,Magnoliopsida,Asterales,Asteraceae,3120253,Achillea chamaemelifolia
Achillea millefolium,Achillea millefolium L.,FALSE,Achillea,millefolium,,Magnoliopsida,Asterales,Asteraceae,3120060,Achillea millefolium
Achillea odorata,Achillea odorata L.,FALSE,Achillea,odorata,,Magnoliopsida,Asterales,Asteraceae,7674113,Achillea odorata
Achillea pyrenaica,Achillea pyrenaica Sibth. ex Godr.,FALSE,Achillea,pyrenaica,,Magnoliopsida,Asterales,Asteraceae,3120053,Achillea pyrenaica
Achillea santolinoides,Achillea santolinoides Lag.,FALSE,Achillea,santolinoides,,Magnoliopsida,Asterales,Asteraceae,3120235,Achillea santolinoides
Achillea tomentosa,Achillea tomentosa L.,FALSE,Achillea,tomentosa,,Magnoliopsida,Asterales,Asteraceae,7787053,Achillea tomentosa
Achnatherum bromoides,Achnatherum bromoides (L.) P.Beauv.,FALSE,Achnatherum,bromoides,,Magnoliopsida,Poales,Poaceae,4142335,Achnatherum bromoides
Achnatherum calamagrostis,Achnatherum calamagrostis P.Beauv.,FALSE,Achnatherum,calamagrostis,,Magnoliopsida,Poales,Poaceae,4142326,Achnatherum calamagrostis
Achyrophorus rutea,Achyrophorus rutea (Talavera) Talavera,FALSE,Achyrophorus,rutea,,Magnoliopsida,Asterales,Asteraceae,160204821,Hypochaeris rutea
Achyrophorus stuessyi,"Achyrophorus stuessyi F.J.Jiménez, M.Ángeles & M.Talavera",FALSE,Achyrophorus,stuessyi,,Magnoliopsida,Asterales,Asteraceae,160204826,----
Achyrophorus valdesii,"Achyrophorus valdesii F.J.Jiménez, M.Ángeles & M.Talavera",FALSE,Achyrophorus,valdesii,,Magnoliopsida,Asterales,Asteraceae,160204827,Hypochaeris achyrophorus
